iter	MultiClass
0	0.9674914455
1	0.8627463493
2	0.782444026
3	0.7162201997
4	0.6610935807
5	0.6115539063
6	0.5728360974
7	0.5406473604
8	0.5136218711
9	0.4895210484
10	0.4688469023
11	0.4504686307
12	0.4337057772
13	0.4190430663
14	0.4060218081
15	0.3951282021
16	0.3850198817
17	0.3776585323
18	0.3694512853
19	0.3635380746
20	0.3587319848
21	0.3549129916
22	0.3496709907
23	0.3449150581
24	0.3416287012
25	0.3383810008
26	0.3353399164
27	0.3332476057
28	0.3308305544
29	0.3284266245
30	0.32677057
31	0.3257859919
32	0.3240233133
33	0.3228128997
34	0.3215284482
35	0.3205800411
36	0.3196834566
37	0.3188132912
38	0.3181837649
39	0.3172636508
40	0.3168099134
41	0.3163741667
42	0.3158740955
43	0.3154689865
44	0.3147101358
45	0.3143203617
46	0.3140435454
47	0.3135543431
48	0.3132353539
49	0.3130230359
50	0.3126807753
51	0.3125011167
52	0.3120331956
53	0.3115700961
54	0.3114551834
55	0.3111406596
56	0.3108122239
57	0.310616689
58	0.3104479397
59	0.3102034863
60	0.3098295534
61	0.3096865062
62	0.3094421648
63	0.3093151415
64	0.3090229221
65	0.3088285164
66	0.3087095666
67	0.3084398008
68	0.3079905007
69	0.3078192635
70	0.3074382905
71	0.3073436667
72	0.307208175
73	0.3070501905
74	0.3068196681
75	0.3066608316
76	0.3065177966
77	0.3061375892
78	0.3059206451
79	0.305794337
80	0.305650572
81	0.3054366271
82	0.3052344674
83	0.3051490941
84	0.3050044233
85	0.3049265486
86	0.3047817971
87	0.3046790982
88	0.3045534938
89	0.3044438414
90	0.3043418935
91	0.3040875148
92	0.3039864139
93	0.303812685
94	0.3036491159
95	0.3035232326
96	0.3034299909
97	0.3033289796
98	0.3032757693
99	0.3031847636
100	0.3031100369
101	0.3030029812
102	0.3028842882
103	0.3027977069
104	0.3026191308
105	0.3025295549
106	0.3021522664
107	0.3020080631
108	0.3018683188
109	0.3017219093
110	0.3014115134
111	0.301021617
112	0.3009087228
113	0.3008494698
114	0.3006196504
115	0.3004739989
116	0.3002677106
117	0.3001735311
118	0.3000271893
119	0.2998971148
120	0.2995267792
121	0.299255348
122	0.2990824447
123	0.2989637595
124	0.2988155989
125	0.2986804534
126	0.2985643467
127	0.2984846669
128	0.2983457633
129	0.2982247602
130	0.2981208311
131	0.2978844718
132	0.2977902023
133	0.2974829079
134	0.2972967239
135	0.2971969916
136	0.2970599654
137	0.2969677702
138	0.296864503
139	0.2967712396
140	0.2966348719
141	0.2965215496
142	0.296419184
143	0.2963116832
144	0.2962182985
145	0.2961546949
146	0.2960361052
147	0.2959133397
148	0.2958280311
149	0.2954791077
150	0.295392852
151	0.2953391198
152	0.2950862068
153	0.2949720729
154	0.294661145
155	0.2944172968
156	0.2943338054
157	0.2942256376
158	0.2941374765
159	0.294015685
160	0.2939062931
161	0.293848878
162	0.293761546
163	0.2935761035
164	0.2934451495
165	0.2933099679
166	0.2932530793
167	0.2931782157
168	0.2931367241
169	0.2930499874
170	0.2929736648
171	0.292898085
172	0.2928494795
173	0.2927357511
174	0.2926444484
175	0.2925224705
176	0.2924468456
177	0.2923702138
178	0.2922391694
179	0.2921789512
180	0.2920732976
181	0.2919687272
182	0.2918637675
183	0.291734944
184	0.2916333829
185	0.2912928975
186	0.2911287029
187	0.2909948081
188	0.2908433313
189	0.2907272112
190	0.29060323
191	0.2905335299
192	0.2904027903
193	0.2902943325
194	0.2902226129
195	0.2901498655
196	0.2900192073
197	0.2899352984
198	0.2896792636
199	0.2895977963
200	0.2894594185
201	0.2893939673
202	0.2892685322
203	0.2891956744
204	0.2891142875
205	0.2889756257
206	0.2888844703
207	0.2888050438
208	0.2885625946
209	0.2884607629
210	0.288340951
211	0.2881718641
212	0.2880942302
213	0.2879480599
214	0.2878461294
215	0.2876659095
216	0.2875333747
217	0.2873125913
218	0.2870198344
219	0.2869291548
220	0.2867085527
221	0.2866321417
222	0.2865631958
223	0.2864986241
224	0.2863715979
225	0.2862693274
226	0.2861905129
227	0.2860585922
228	0.2860102812
229	0.2859509728
230	0.2857985836
231	0.2857534824
232	0.2857104699
233	0.2855855714
234	0.2854634258
235	0.2853847815
236	0.2853472962
237	0.2852667991
238	0.2851837466
239	0.2850788156
240	0.2849079488
241	0.2848216389
242	0.2847314289
243	0.2846447268
244	0.2844798692
245	0.2843723918
246	0.2842772696
247	0.2842349815
248	0.28417504
249	0.2841037961
250	0.2840274698
251	0.2838991257
252	0.2838426374
253	0.2837020786
254	0.2836053014
255	0.283504837
256	0.2833830404
257	0.2833253495
258	0.283243164
259	0.2831060282
260	0.2830281935
261	0.2829467898
262	0.2828956954
263	0.282792291
264	0.2826227207
265	0.2824739308
266	0.2823537678
267	0.282301258
268	0.2821903804
269	0.2821526886
270	0.2820886847
271	0.2820040382
272	0.2819582457
273	0.2818456014
274	0.2817040228
275	0.281637781
276	0.2815584838
277	0.281503724
278	0.2813849552
279	0.2811923723
280	0.2810965438
281	0.2810008207
282	0.2809716307
283	0.2808826636
284	0.2808067347
285	0.2807335462
286	0.2806674847
287	0.2805821415
288	0.2805057989
289	0.2803907258
290	0.2803319478
291	0.2802645234
292	0.280094109
293	0.2800390433
294	0.2799994065
295	0.2798826964
296	0.2797959437
297	0.2797443867
298	0.2796221833
299	0.27955696
