iter	Passed	Remaining
0	9	2862
1	17	2533
2	24	2417
3	32	2428
4	39	2306
5	44	2165
6	49	2073
7	55	2015
8	60	1956
9	66	1918
10	73	1918
11	78	1876
12	83	1846
13	89	1832
14	94	1802
15	101	1793
16	106	1769
17	112	1766
18	118	1752
19	123	1727
20	129	1718
21	134	1700
22	139	1680
23	144	1665
24	150	1654
25	155	1641
26	161	1629
27	166	1618
28	172	1612
29	178	1602
30	183	1592
31	189	1587
32	195	1585
33	201	1578
34	207	1573
35	213	1564
36	219	1561
37	225	1552
38	231	1546
39	236	1535
40	241	1524
41	247	1517
42	252	1510
43	258	1505
44	264	1500
45	270	1493
46	276	1486
47	281	1476
48	286	1467
49	292	1463
50	297	1454
51	303	1445
52	309	1442
53	315	1436
54	321	1433
55	327	1427
56	332	1417
57	339	1415
58	346	1413
59	352	1410
60	358	1403
61	364	1398
62	369	1391
63	375	1384
64	381	1378
65	388	1376
66	393	1369
67	399	1363
68	404	1354
69	409	1344
70	415	1339
71	421	1333
72	427	1330
73	433	1324
74	439	1317
75	444	1310
76	449	1302
77	454	1294
78	459	1286
79	465	1279
80	471	1275
81	477	1268
82	482	1261
83	487	1254
84	493	1248
85	499	1243
86	506	1240
87	515	1241
88	520	1234
89	526	1228
90	531	1221
91	537	1216
92	543	1208
93	548	1202
94	554	1195
95	560	1190
96	564	1182
97	570	1176
98	575	1168
99	581	1162
100	587	1157
101	592	1149
102	597	1142
103	602	1135
104	607	1127
105	613	1122
106	619	1116
107	625	1111
108	630	1105
109	635	1098
110	641	1092
111	647	1087
112	653	1081
113	659	1075
114	664	1068
115	669	1061
116	674	1055
117	679	1048
118	684	1041
119	689	1034
120	695	1029
121	701	1024
122	707	1018
123	713	1012
124	718	1005
125	724	1000
126	729	993
127	735	987
128	741	982
129	746	976
130	751	969
131	756	962
132	762	957
133	767	951
134	774	946
135	782	944
136	790	940
137	797	936
138	803	930
139	808	923
140	814	917
141	820	912
142	827	908
143	833	902
144	838	896
145	844	891
146	850	885
147	856	879
148	864	876
149	873	873
150	879	867
151	886	862
152	893	858
153	898	852
154	905	847
155	912	841
156	918	836
157	924	831
158	931	825
159	937	820
160	943	814
161	950	809
162	956	804
163	963	799
164	970	793
165	978	789
166	986	785
167	992	780
168	998	774
169	1004	768
170	1011	762
171	1017	757
172	1024	752
173	1030	746
174	1036	740
175	1043	735
176	1049	729
177	1055	723
178	1062	717
179	1068	712
180	1075	707
181	1082	702
182	1090	696
183	1096	691
184	1103	685
185	1109	680
186	1115	674
187	1122	668
188	1129	663
189	1134	656
190	1140	650
191	1146	644
192	1152	638
193	1158	633
194	1164	626
195	1171	621
196	1176	615
197	1182	609
198	1187	602
199	1193	596
200	1199	590
201	1208	586
202	1214	580
203	1223	575
204	1230	570
205	1236	564
206	1242	558
207	1248	552
208	1255	546
209	1262	540
210	1270	536
211	1278	530
212	1286	525
213	1293	519
214	1300	514
215	1307	508
216	1313	502
217	1320	496
218	1327	490
219	1334	485
220	1343	480
221	1350	474
222	1356	468
223	1362	462
224	1370	456
225	1376	450
226	1383	445
227	1390	439
228	1397	433
229	1404	427
230	1411	421
231	1418	415
232	1425	410
233	1435	404
234	1442	398
235	1448	392
236	1455	386
237	1461	380
238	1467	374
239	1474	368
240	1481	362
241	1487	356
242	1495	350
243	1502	344
244	1509	338
245	1515	332
246	1521	326
247	1527	320
248	1534	314
249	1540	308
250	1546	301
251	1553	295
252	1558	289
253	1567	283
254	1575	277
255	1582	271
256	1588	265
257	1595	259
258	1603	253
259	1610	247
260	1616	241
261	1623	235
262	1629	229
263	1636	223
264	1643	217
265	1651	211
266	1658	204
267	1664	198
268	1671	192
269	1678	186
270	1684	180
271	1691	174
272	1698	167
273	1705	161
274	1711	155
275	1717	149
276	1723	143
277	1730	136
278	1737	130
279	1745	124
280	1752	118
281	1759	112
282	1765	106
283	1772	99
284	1778	93
285	1785	87
286	1791	81
287	1797	74
288	1804	68
289	1811	62
290	1817	56
291	1823	49
292	1830	43
293	1836	37
294	1842	31
295	1849	24
296	1855	18
297	1863	12
298	1868	6
299	1874	0
